yr,r,pg,units,value
1997,id,clo,billions of us dollars (USD),0.7739
1997,id,enr,billions of us dollars (USD),0.8199
1997,id,ong,billions of us dollars (USD),1.5096
1997,id,ser,billions of us dollars (USD),12.3205
1997,id,hce,billions of us dollars (USD),12.0205
1997,id,utl,billions of us dollars (USD),3.8281
1997,id,hea,billions of us dollars (USD),2.6436
1997,id,trn,billions of us dollars (USD),0.6461
1997,id,rsr,billions of us dollars (USD),0.7395
1997,id,htl,billions of us dollars (USD),1.2686
1997,id,fsr,billions of us dollars (USD),1.5306
1997,id,osr,billions of us dollars (USD),1.3641
1997,id,npish,billions of us dollars (USD),0.3
1997,id,npi,billions of us dollars (USD),1.925
1997,id,nps,billions of us dollars (USD),1.625
1997,il,pce,billions of us dollars (USD),259.8865
1997,il,gds,billions of us dollars (USD),89.4179
1997,il,dur,billions of us dollars (USD),33.5411
1997,il,mvp,billions of us dollars (USD),13.89
1997,il,hdr,billions of us dollars (USD),7.3328
1997,il,rec,billions of us dollars (USD),7.7418
1997,il,odg,billions of us dollars (USD),4.5764
1997,il,ndr,billions of us dollars (USD),55.8768
1997,il,foo,billions of us dollars (USD),19.4425
1997,il,clo,billions of us dollars (USD),11.9395
1997,il,enr,billions of us dollars (USD),5.433
1997,il,ong,billions of us dollars (USD),19.0617
1997,il,ser,billions of us dollars (USD),170.4686
1997,il,hce,billions of us dollars (USD),162.0506
1997,il,utl,billions of us dollars (USD),47.8207
1997,il,hea,billions of us dollars (USD),34.9883
1997,il,trn,billions of us dollars (USD),11.4415
1997,il,rsr,billions of us dollars (USD),9.9416
1997,il,htl,billions of us dollars (USD),15.4567
1997,il,fsr,billions of us dollars (USD),17.476
1997,il,osr,billions of us dollars (USD),24.9258
1997,il,npish,billions of us dollars (USD),8.4181
1997,il,npi,billions of us dollars (USD),30.953
1997,il,nps,billions of us dollars (USD),22.535
1997,in,pce,billions of us dollars (USD),111.2122
1997,in,gds,billions of us dollars (USD),43.8923
1997,in,dur,billions of us dollars (USD),15.5707
1997,in,mvp,billions of us dollars (USD),6.8833
1997,in,hdr,billions of us dollars (USD),3.366
1997,in,rec,billions of us dollars (USD),3.5601
1997,in,odg,billions of us dollars (USD),1.7612
1997,in,ndr,billions of us dollars (USD),28.3216
1997,in,foo,billions of us dollars (USD),10.714
1997,in,clo,billions of us dollars (USD),4.7315
1997,in,enr,billions of us dollars (USD),3.7482
1997,in,ong,billions of us dollars (USD),9.1279
1997,in,ser,billions of us dollars (USD),67.3199
1997,in,hce,billions of us dollars (USD),64.4039
1997,in,utl,billions of us dollars (USD),18.2106
1997,in,hea,billions of us dollars (USD),16.0193
1997,in,trn,billions of us dollars (USD),4.1031
1997,in,rsr,billions of us dollars (USD),5.1746
1997,in,htl,billions of us dollars (USD),6.8784
1997,in,fsr,billions of us dollars (USD),5.8003
1997,in,osr,billions of us dollars (USD),8.2176
1997,in,npish,billions of us dollars (USD),2.916
1997,in,npi,billions of us dollars (USD),11.271
1997,in,nps,billions of us dollars (USD),8.355
1997,ia,pce,billions of us dollars (USD),53.6852
1997,ia,gds,billions of us dollars (USD),20.8104
1997,ia,dur,billions of us dollars (USD),7.6769
1997,ia,mvp,billions of us dollars (USD),3.404
1997,ia,hdr,billions of us dollars (USD),1.5687
1997,ia,rec,billions of us dollars (USD),1.7442
1997,ia,odg,billions of us dollars (USD),0.9601
1997,ia,ndr,billions of us dollars (USD),13.1335
1997,ia,foo,billions of us dollars (USD),4.6728
1997,ia,clo,billions of us dollars (USD),2.136
1997,ia,enr,billions of us dollars (USD),2.1166
1997,ia,ong,billions of us dollars (USD),4.2081
1997,ia,ser,billions of us dollars (USD),32.8748
1997,ia,hce,billions of us dollars (USD),31.1927
1997,ia,utl,billions of us dollars (USD),8.3163
1997,ia,hea,billions of us dollars (USD),7.7998
1997,ia,trn,billions of us dollars (USD),1.6262
1997,ia,rsr,billions of us dollars (USD),2.4194
1997,ia,htl,billions of us dollars (USD),2.9821
1997,ia,fsr,billions of us dollars (USD),3.1829
1997,ia,osr,billions of us dollars (USD),4.8663
1997,ia,npish,billions of us dollars (USD),1.682
1997,ia,npi,billions of us dollars (USD),6.067
1997,ia,nps,billions of us dollars (USD),4.385
1997,ks,pce,billions of us dollars (USD),47.6489
1997,ks,gds,billions of us dollars (USD),19.2529
1997,ks,dur,billions of us dollars (USD),6.8812
1997,ks,mvp,billions of us dollars (USD),2.9703
1997,ks,hdr,billions of us dollars (USD),1.4255
1997,ks,rec,billions of us dollars (USD),1.653
1997,ks,odg,billions of us dollars (USD),0.8324
1997,ks,ndr,billions of us dollars (USD),12.3717
1997,ks,foo,billions of us dollars (USD),4.773
1997,ks,clo,billions of us dollars (USD),1.9484
1997,ks,enr,billions of us dollars (USD),1.4962
1997,ks,ong,billions of us dollars (USD),4.154
1997,ks,ser,billions of us dollars (USD),28.396
1997,ks,hce,billions of us dollars (USD),27.609
1997,ks,utl,billions of us dollars (USD),8.1168
1997,ks,hea,billions of us dollars (USD),7.3399
1997,ks,trn,billions of us dollars (USD),1.5791
1997,ks,rsr,billions of us dollars (USD),1.3105
1997,ks,htl,billions of us dollars (USD),2.906
1997,ks,fsr,billions of us dollars (USD),2.9058
1997,ks,osr,billions of us dollars (USD),3.4508
1997,ks,npish,billions of us dollars (USD),0.787
1997,ks,npi,billions of us dollars (USD),4.44
1997,ks,nps,billions of us dollars (USD),3.653
1997,ky,pce,billions of us dollars (USD),67.463
1997,ky,gds,billions of us dollars (USD),27.3185
1997,ky,dur,billions of us dollars (USD),9.1711
1997,ky,mvp,billions of us dollars (USD),4.1619
1997,ky,hdr,billions of us dollars (USD),2.0661
1997,ky,rec,billions of us dollars (USD),1.9425
1997,ky,odg,billions of us dollars (USD),1.0006
1997,ky,ndr,billions of us dollars (USD),18.1474
1997,ky,foo,billions of us dollars (USD),6.7733
1997,ky,clo,billions of us dollars (USD),2.7748
1997,ky,enr,billions of us dollars (USD),2.4633
1997,ky,ong,billions of us dollars (USD),6.1361
1997,ky,ser,billions of us dollars (USD),40.1445
1997,ky,hce,billions of us dollars (USD),38.6665
1997,ky,utl,billions of us dollars (USD),10.1963
1997,ky,hea,billions of us dollars (USD),11.014
1997,ky,trn,billions of us dollars (USD),2.0639
1997,ky,rsr,billions of us dollars (USD),2.7954
1997,ky,htl,billions of us dollars (USD),4.4132
1997,ky,fsr,billions of us dollars (USD),3.8641
1997,ky,osr,billions of us dollars (USD),4.3196
1997,ky,npish,billions of us dollars (USD),1.478
1997,ky,npi,billions of us dollars (USD),6.188
1997,ky,nps,billions of us dollars (USD),4.71
1997,la,pce,billions of us dollars (USD),74.0886
1997,la,gds,billions of us dollars (USD),29.2697
1997,la,dur,billions of us dollars (USD),10.0928
1997,la,mvp,billions of us dollars (USD),4.7314
1997,la,hdr,billions of us dollars (USD),2.2107
1997,la,rec,billions of us dollars (USD),2.0763
1997,la,odg,billions of us dollars (USD),1.0744
1997,la,ndr,billions of us dollars (USD),19.177
1997,la,foo,billions of us dollars (USD),7.7163
1997,la,clo,billions of us dollars (USD),3.2783
1997,la,enr,billions of us dollars (USD),2.3505
1997,la,ong,billions of us dollars (USD),5.8319
1997,la,ser,billions of us dollars (USD),44.8188
1997,la,hce,billions of us dollars (USD),43.7678
1997,la,utl,billions of us dollars (USD),12.5385
1997,la,hea,billions of us dollars (USD),12.5253
1997,la,trn,billions of us dollars (USD),2.1218
1997,la,rsr,billions of us dollars (USD),2.5993
1997,la,htl,billions of us dollars (USD),4.9041
1997,la,fsr,billions of us dollars (USD),4.5315
1997,la,osr,billions of us dollars (USD),4.5472
1997,la,npish,billions of us dollars (USD),1.051
1997,la,npi,billions of us dollars (USD),5.16
1997,la,nps,billions of us dollars (USD),4.109
1997,me,pce,billions of us dollars (USD),25.5867
1997,me,gds,billions of us dollars (USD),10.0769
1997,me,dur,billions of us dollars (USD),3.1739
1997,me,mvp,billions of us dollars (USD),1.3938
1997,me,hdr,billions of us dollars (USD),0.6003
1997,me,rec,billions of us dollars (USD),0.7672
1997,me,odg,billions of us dollars (USD),0.4125
1997,me,ndr,billions of us dollars (USD),6.903
1997,me,foo,billions of us dollars (USD),2.7092
1997,me,clo,billions of us dollars (USD),1.1373
1997,me,enr,billions of us dollars (USD),1.0069
1997,me,ong,billions of us dollars (USD),2.0497
1997,me,ser,billions of us dollars (USD),15.5098
1997,me,hce,billions of us dollars (USD),14.6508
1997,me,utl,billions of us dollars (USD),4.0732
1997,me,hea,billions of us dollars (USD),3.728
1997,me,trn,billions of us dollars (USD),0.6269
1997,me,rsr,billions of us dollars (USD),0.8808
1997,me,htl,billions of us dollars (USD),1.5376
1997,me,fsr,billions of us dollars (USD),1.7059
1997,me,osr,billions of us dollars (USD),2.0984
1997,me,npish,billions of us dollars (USD),0.859
1997,me,npi,billions of us dollars (USD),2.735
1997,me,nps,billions of us dollars (USD),1.876
1997,md,pce,billions of us dollars (USD),112.1226
1997,md,gds,billions of us dollars (USD),39.9533
1997,md,dur,billions of us dollars (USD),14.1481
1997,md,mvp,billions of us dollars (USD),5.8043
1997,md,hdr,billions of us dollars (USD),3.2465
1997,md,rec,billions of us dollars (USD),3.3777
1997,md,odg,billions of us dollars (USD),1.7196
1997,md,ndr,billions of us dollars (USD),25.8053
1997,md,foo,billions of us dollars (USD),9.3051
1997,md,clo,billions of us dollars (USD),5.1011
1997,md,enr,billions of us dollars (USD),2.6387
1997,md,ong,billions of us dollars (USD),8.7604
1997,md,ser,billions of us dollars (USD),72.1692
1997,md,hce,billions of us dollars (USD),70.7552
1997,md,utl,billions of us dollars (USD),23.1516
1997,md,hea,billions of us dollars (USD),15.6381
1997,md,trn,billions of us dollars (USD),3.806
1997,md,rsr,billions of us dollars (USD),4.4151
1997,md,htl,billions of us dollars (USD),6.5531
1997,md,fsr,billions of us dollars (USD),7.1799
1997,md,osr,billions of us dollars (USD),10.0114
1997,md,npish,billions of us dollars (USD),1.414
1997,md,npi,billions of us dollars (USD),10.735
1997,md,nps,billions of us dollars (USD),9.321
1997,ma,pce,billions of us dollars (USD),158.9437
1997,ma,gds,billions of us dollars (USD),53.0155
1997,ma,dur,billions of us dollars (USD),18.8525
1997,ma,mvp,billions of us dollars (USD),6.2478
1997,ma,hdr,billions of us dollars (USD),3.8681
1997,ma,rec,billions of us dollars (USD),5.8068
1997,ma,odg,billions of us dollars (USD),2.9299
1997,ma,ndr,billions of us dollars (USD),34.163
1997,ma,foo,billions of us dollars (USD),12.1398
1997,ma,clo,billions of us dollars (USD),7.32
1997,ma,enr,billions of us dollars (USD),3.4831
1997,ma,ong,billions of us dollars (USD),11.2201
1997,ma,ser,billions of us dollars (USD),105.9282
1997,ma,hce,billions of us dollars (USD),102.4191
1997,ma,utl,billions of us dollars (USD),30.6665
1997,ma,hea,billions of us dollars (USD),24.5504
1997,ma,trn,billions of us dollars (USD),5.3232
1997,ma,rsr,billions of us dollars (USD),5.6974
1997,ma,htl,billions of us dollars (USD),9.7008
1997,ma,fsr,billions of us dollars (USD),13.5105
1997,ma,osr,billions of us dollars (USD),12.9705
1997,ma,npish,billions of us dollars (USD),3.509
1997,ma,npi,billions of us dollars (USD),14.921
1997,ma,nps,billions of us dollars (USD),11.412
1997,mi,pce,billions of us dollars (USD),201.735
1997,mi,gds,billions of us dollars (USD),73.2643
1997,mi,dur,billions of us dollars (USD),26.4297
1997,mi,mvp,billions of us dollars (USD),10.6862
1997,mi,hdr,billions of us dollars (USD),6.0224
1997,mi,rec,billions of us dollars (USD),6.2499
1997,mi,odg,billions of us dollars (USD),3.4712
1997,mi,ndr,billions of us dollars (USD),46.8346
1997,mi,foo,billions of us dollars (USD),17.7463
1997,mi,clo,billions of us dollars (USD),8.634
1997,mi,enr,billions of us dollars (USD),5.3942
1997,mi,ong,billions of us dollars (USD),15.06
1997,mi,ser,billions of us dollars (USD),128.4707
1997,mi,hce,billions of us dollars (USD),121.9296
1997,mi,utl,billions of us dollars (USD),34.1371
