yr,r,n,units,value
2012,ga,11115,billions of us dollars (USD),0.106408
2012,ga,11119,billions of us dollars (USD),0.122712
2012,ga,1112,billions of us dollars (USD),0.367851
2012,ga,111211,billions of us dollars (USD),0.0
2012,ga,111219,billions of us dollars (USD),0.0
2012,ga,1113,billions of us dollars (USD),0.280693
2012,ga,11132,billions of us dollars (USD),0.0
2012,ga,11133,billions of us dollars (USD),0.0
2012,ga,111331,billions of us dollars (USD),0.001173
2012,ga,111332,billions of us dollars (USD),0.007281
2012,ga,111333,billions of us dollars (USD),0.0
2012,ga,111334,billions of us dollars (USD),0.063817
2012,ga,111335,billions of us dollars (USD),0.147868
2012,ga,111336,billions of us dollars (USD),0.000216
2012,ga,111339,billions of us dollars (USD),0.060068
2012,ga,1114,billions of us dollars (USD),0.254061
2012,ga,11141,billions of us dollars (USD),0.001846
2012,ga,11142,billions of us dollars (USD),0.252215
2012,ga,111421,billions of us dollars (USD),0.189187
2012,ga,111422,billions of us dollars (USD),0.063028
2012,ga,1119,billions of us dollars (USD),2.388961
2012,ga,11191,billions of us dollars (USD),0.0
2012,ga,11192,billions of us dollars (USD),0.831803
2012,ga,11194,billions of us dollars (USD),0.0
2012,ga,11199,billions of us dollars (USD),1.499195
2012,ga,112,billions of us dollars (USD),0.109266
2012,ga,1121,billions of us dollars (USD),0.035343
2012,ga,11211,billions of us dollars (USD),0.017747
2012,ga,112111,billions of us dollars (USD),0.017747
2012,ga,11212,billions of us dollars (USD),0.017596
2012,ga,1122,billions of us dollars (USD),0.002862
2012,ga,1123,billions of us dollars (USD),0.066661
2012,ga,11231,billions of us dollars (USD),0.005217
2012,ga,11232,billions of us dollars (USD),0.057871
2012,ga,11239,billions of us dollars (USD),0.003573
2012,ga,1124,billions of us dollars (USD),0.000152
2012,ga,11241,billions of us dollars (USD),4.5e-5
2012,ga,11242,billions of us dollars (USD),0.000107
2012,ga,1125,billions of us dollars (USD),1.8e-5
2012,ga,1129,billions of us dollars (USD),0.004229
2012,ga,11291,billions of us dollars (USD),0.000715
2012,ga,11292,billions of us dollars (USD),0.0
2012,ga,11293,billions of us dollars (USD),0.0
2012,ga,11299,billions of us dollars (USD),0.003451
2012,hi,111,billions of us dollars (USD),0.537682
2012,hi,1111,billions of us dollars (USD),0.152399
2012,hi,11115,billions of us dollars (USD),0.152399
2012,hi,1112,billions of us dollars (USD),0.0
2012,hi,111211,billions of us dollars (USD),0.0
2012,hi,111219,billions of us dollars (USD),0.068878
2012,hi,1113,billions of us dollars (USD),0.149185
2012,hi,11131,billions of us dollars (USD),0.000202
2012,hi,11132,billions of us dollars (USD),0.000495
2012,hi,11133,billions of us dollars (USD),0.148488
2012,hi,111332,billions of us dollars (USD),0.0
2012,hi,111335,billions of us dollars (USD),0.037961
2012,hi,111336,billions of us dollars (USD),0.0
2012,hi,111339,billions of us dollars (USD),0.107853
2012,hi,1114,billions of us dollars (USD),0.080999
2012,hi,11141,billions of us dollars (USD),0.0
2012,hi,11142,billions of us dollars (USD),0.0
2012,hi,111421,billions of us dollars (USD),0.023176
2012,hi,111422,billions of us dollars (USD),0.0
2012,hi,1119,billions of us dollars (USD),0.0
2012,hi,11193,billions of us dollars (USD),0.0
2012,hi,11194,billions of us dollars (USD),0.0
2012,hi,11199,billions of us dollars (USD),0.007055
2012,hi,112,billions of us dollars (USD),0.001191
2012,hi,1121,billions of us dollars (USD),0.000842
2012,hi,11211,billions of us dollars (USD),0.0
2012,hi,112111,billions of us dollars (USD),0.0
2012,hi,11212,billions of us dollars (USD),0.0
2012,hi,1122,billions of us dollars (USD),0.0
2012,hi,1123,billions of us dollars (USD),5.0e-6
2012,hi,11231,billions of us dollars (USD),0.0
2012,hi,11239,billions of us dollars (USD),0.0
2012,hi,1124,billions of us dollars (USD),0.0
2012,hi,11241,billions of us dollars (USD),0.0
2012,hi,11242,billions of us dollars (USD),0.0
2012,hi,1125,billions of us dollars (USD),0.0
2012,hi,1129,billions of us dollars (USD),0.00025
2012,hi,11291,billions of us dollars (USD),1.1e-5
2012,hi,11292,billions of us dollars (USD),0.000105
2012,hi,11299,billions of us dollars (USD),0.000134
2012,id,111,billions of us dollars (USD),3.271223
2012,id,1111,billions of us dollars (USD),0.972123
2012,id,11112,billions of us dollars (USD),0.000121
2012,id,11113,billions of us dollars (USD),0.016044
2012,id,11114,billions of us dollars (USD),0.394267
2012,id,11115,billions of us dollars (USD),0.126273
2012,id,11119,billions of us dollars (USD),0.435419
2012,id,1112,billions of us dollars (USD),1.006276
2012,id,111211,billions of us dollars (USD),0.890663
2012,id,111219,billions of us dollars (USD),0.115613
2012,id,1113,billions of us dollars (USD),0.02459
2012,id,11133,billions of us dollars (USD),0.02459
2012,id,111331,billions of us dollars (USD),0.005068
2012,id,111332,billions of us dollars (USD),0.002852
2012,id,111333,billions of us dollars (USD),0.0
2012,id,111334,billions of us dollars (USD),0.000289
2012,id,111335,billions of us dollars (USD),0.000202
2012,id,111336,billions of us dollars (USD),0.0
2012,id,111339,billions of us dollars (USD),0.015976
2012,id,1114,billions of us dollars (USD),0.052695
2012,id,11141,billions of us dollars (USD),0.000944
2012,id,11142,billions of us dollars (USD),0.05175
2012,id,111421,billions of us dollars (USD),0.037176
2012,id,111422,billions of us dollars (USD),0.014574
2012,id,1119,billions of us dollars (USD),1.215539
2012,id,11194,billions of us dollars (USD),0.298354
2012,id,11199,billions of us dollars (USD),0.917185
2012,id,112,billions of us dollars (USD),0.171788
2012,id,1121,billions of us dollars (USD),0.163406
2012,id,11211,billions of us dollars (USD),0.101194
2012,id,112111,billions of us dollars (USD),0.080287
2012,id,112112,billions of us dollars (USD),0.020907
2012,id,11212,billions of us dollars (USD),0.062212
2012,id,1122,billions of us dollars (USD),0.0
2012,id,1123,billions of us dollars (USD),0.000484
2012,id,11231,billions of us dollars (USD),0.0
2012,id,11233,billions of us dollars (USD),0.0
2012,id,11234,billions of us dollars (USD),0.0
2012,id,11239,billions of us dollars (USD),0.0
2012,id,1124,billions of us dollars (USD),0.002757
2012,id,11241,billions of us dollars (USD),0.002704
2012,id,11242,billions of us dollars (USD),5.3e-5
2012,id,1125,billions of us dollars (USD),0.0
2012,id,1129,billions of us dollars (USD),0.004827
2012,id,11291,billions of us dollars (USD),7.4e-5
2012,id,11292,billions of us dollars (USD),0.000138
2012,id,11299,billions of us dollars (USD),0.004615
2012,il,111,billions of us dollars (USD),13.662673
2012,il,1111,billions of us dollars (USD),13.152191
2012,il,11111,billions of us dollars (USD),2.587484
2012,il,11114,billions of us dollars (USD),0.0
2012,il,11115,billions of us dollars (USD),9.464215
2012,il,11116,billions of us dollars (USD),0.0
2012,il,11119,billions of us dollars (USD),1.068974
2012,il,1112,billions of us dollars (USD),0.099953
2012,il,111211,billions of us dollars (USD),0.028745
2012,il,111219,billions of us dollars (USD),0.071208
2012,il,1113,billions of us dollars (USD),0.018899
2012,il,11133,billions of us dollars (USD),0.018899
2012,il,111331,billions of us dollars (USD),0.004878
2012,il,111332,billions of us dollars (USD),0.002515
2012,il,111333,billions of us dollars (USD),0.000127
2012,il,111334,billions of us dollars (USD),0.000795
2012,il,111335,billions of us dollars (USD),0.000391
